1481,Belém de Maria
1482,Belém do São Francisco
1483,Belo Jardim
1484,Betânia
1485,Bezerros
1486,Bodocó
1487,Bom Conselho
1488,Bom Jardim
1489,Bonito
1490,Brejão
1491,Brejinho
1492,Brejo da Madre de Deus
1493,Buenos Aires
1494,Buíque
1495,Cabo de Santo Agostinho
1496,Cabrobó
1497,Cachoeirinha
1498,Caetés
1499,Calçado
1500,Calumbi
1501,Camaragibe
1502,Camocim de São Félix
1503,Camutanga
1504,Canhotinho
1505,Capoeiras
1506,Carnaíba
1507,Carnaubeira da Penha
1508,Carpina
1509,Caruaru
1510,Casinhas
1511,Catende
1512,Cedro
1513,Chã de Alegria
1514,Chã Grande
1515,Condado
1516,Correntes
1517,Cortês
1518,Cumaru
1519,Cupira
1520,Custódia
1521,Dormentes
1522,Escada
1523,Exu
1524,Feira Nova
1525,Fernando de Noronha
1526,Ferreiros
1527,Flores
1528,Floresta
1529,Frei Miguelinho
1530,Gameleira
1531,Garanhuns
1532,Glória do Goitá
1533,Goiana
1534,Granito
1535,Gravatá
1536,Iati
1537,Ibimirim
1538,Ibirajuba
1539,Igarassu
1540,Iguaracy
1541,Inajá
1542,Ingazeira
1543,Ipojuca
1544,Ipubi
1545,Itacuruba
1546,Itaíba
1547,Ilha de Itamaracá
1548,Itambé
1549,Itapetim
1550,Itapissuma
1551,Itaquitinga
1552,Jaboatão dos Guararapes
1553,Jaqueira
1554,Jataúba
1555,Jatobá
1556,João Alfredo
1557,Joaquim Nabuco
1558,Jucati
1559,Jupi
1560,Jurema
1561,Lagoa do Carro
1562,Lagoa de Itaenga
1563,Lagoa do Ouro
1564,Lagoa dos Gatos
1565,Lagoa Grande
1566,Lajedo
1567,Limoeiro
1568,Macaparana
1569,Machados
1570,Manari
1571,Maraial
1572,Mirandiba
1573,Moreno
1574,Nazaré da Mata
1575,Olinda
1576,Orobó
1577,Orocó
1578,Ouricuri
1579,Palmares
1580,Palmeirina
1581,Panelas
1582,Paranatama
1583,Parnamirim
1584,Passira
1585,Paudalho
1586,Paulista
1587,Pedra
1588,Pesqueira
1589,Petrolândia
1590,Petrolina
1591,Poção
1592,Pombos
1593,Primavera
1594,Quipapá
1595,Quixaba
1596,Recife
1597,Riacho das Almas
1598,Ribeirão
1599,Rio Formoso
1600,Sairé
1601,Salgadinho
1602,Salgueiro
1603,Saloá
1604,Sanharó
1605,Santa Cruz
1606,Santa Cruz da Baixa Verde
1607,Santa Cruz do Capibaribe
1608,Santa Filomena
1609,Santa Maria da Boa Vista
1610,Santa Maria do Cambucá
1611,Santa Terezinha
1612,São Benedito do Sul
1613,São Bento do Una
1614,São Caitano
1615,São João
1616,São Joaquim do Monte
1617,São José da Coroa Grande
1618,São José do Belmonte
1619,São José do Egito
1620,São Lourenço da Mata
1621,São Vicente Ferrer
1622,Serra Talhada
1623,Serrita
1624,Sertânia
1625,Sirinhaém
1626,Moreilândia
1627,Solidão
1628,Surubim
1629,Tabira
1630,Tacaimbó
1631,Tacaratu
1632,Tamandaré
1633,Taquaritinga do Norte
1634,Terezinha
1635,Terra Nova
1636,Timbaúba
1637,Toritama
1638,Tracunhaém
1639,Trindade
1640,Triunfo
1641,Tupanatinga
1642,Tuparetama
1643,Venturosa
1644,Verdejante
1645,Vertente do Lério
1646,Vertentes
1647,Vicência
1648,Vitória de Santo Antão
1649,Xexéu
1650,Água Branca
1651,Anadia
1652,Arapiraca
1653,Atalaia
1654,Barra de Santo Antônio
1655,Barra de São Miguel
1656,Batalha
1657,Belém
1658,Belo Monte
1659,Boca da Mata
1660,Branquinha
1661,Cacimbinhas
1662,Cajueiro
1663,Campestre
1664,Campo Alegre
1665,Campo Grande
1666,Canapi
1667,Capela
1668,Carneiros
1669,Chã Preta
1670,Coité do Nóia
1671,Colônia Leopoldina
1672,Coqueiro Seco
1673,Coruripe
1674,Craíbas
1675,Delmiro Gouveia
1676,Dois Riachos
1677,Estrela de Alagoas
1678,Feira Grande
1679,Feliz Deserto
1680,Flexeiras
1681,Girau do Ponciano
1682,Ibateguara
1683,Igaci
1684,Igreja Nova
