HYPER_PARAM,FEATURES,K_FOLDS,OUTPUT,AVG_RMSE,AVG_RMSE_%_AREA,STD_RMSE,CV_RMSE,AVG_MAE,AVG_MAE_%_AREA,STD_MAE,CV_MAE
5,"DMC, DC",11,area,54.3921460218,4.23374469296,40.6096264216,3.16094883031,20.9167928696,1.62810933714,9.5493004085,0.743292973029
5,"DMC, DC",15,area,50.4444143988,3.92646342111,44.5045994066,3.46412350552,20.7165082296,1.61251969611,11.685173535,0.9095438415
5,"DMC, DC",19,area,49.0598017106,3.81868873213,46.6451060974,3.63073503872,20.873758567,1.62475965776,13.3220324031,1.03695272408
5,"DMC, DC",23,area,46.6221494514,3.62894815246,47.8771852472,3.72663690955,20.0712768721,1.56229654745,12.7778415072,0.994594304975
6,"DMC, DC",3,area,57.4892187918,4.47481286847,29.9456331277,2.33089103123,19.1794090271,1.49287584921,3.94250889404,0.306874748063
6,"DMC, DC",5,area,62.2518728205,4.84552560355,29.902348545,2.32752187069,21.2625226974,1.65502005737,5.3089119892,0.413232049176
6,"DMC, DC",7,area,59.4164148249,4.62482084893,36.2726266392,2.82336792653,21.3346159799,1.66063161297,7.18235512619,0.559056042508
6,"DMC, DC",9,area,55.5099951894,4.32075519589,37.7217418994,2.93616332975,20.5716336568,1.60124303213,8.13469865499,0.633184012368
6,"DMC, DC",10,area,55.6410471772,4.33095594542,38.0843106784,2.96438475061,20.3547076225,1.58435806778,6.80460046516,0.529652591673
6,"DMC, DC",11,area,51.6447489119,4.0198943711,41.4887771676,3.22937966228,20.0648943294,1.56179974675,9.34412236249,0.72732244186
6,"DMC, DC",15,area,49.3069592904,3.83792684219,45.6417548528,3.55263675951,20.7802387873,1.61748031874,12.1016154805,0.941958611019
6,"DMC, DC",19,area,46.1689783581,3.59367448059,46.961086425,3.65533013439,19.7457720104,1.53696008655,13.0605462239,1.01659931271
6,"DMC, DC",23,area,46.0161270839,3.5817769307,49.1819959294,3.82820001571,20.3612276368,1.58486556891,14.1655550712,1.10261035815
7,"DMC, DC",3,area,56.6321155181,4.40809815501,30.331181232,2.36090110364,19.3113059998,1.50314237018,4.25915319022,0.331521525339
7,"DMC, DC",5,area,61.5409633396,4.79019023875,30.430851104,2.36865915002,21.2994623184,1.65789534242,5.64071369296,0.439058640056
7,"DMC, DC",7,area,57.3454110114,4.46361924087,36.8038965681,2.86472061082,20.6396075657,1.6065339463,6.8839662463,0.535830219865
7,"DMC, DC",9,area,54.7799669232,4.26393167404,37.2169663522,2.89687289997,20.2802084817,1.57855924635,7.81876780003,0.608592767522
7,"DMC, DC",10,area,55.8189195659,4.34480107448,38.6390858561,3.00756702298,20.6256672859,1.60544887079,7.52238409727,0.585523022708
7,"DMC, DC",11,area,51.6571048727,4.02085612729,40.9449543804,3.18704989581,19.9825254787,1.55538836735,9.10932550168,0.709046458356
7,"DMC, DC",15,area,47.9352576377,3.731157115,45.8106782281,3.56578532039,20.3803786596,1.58635623525,12.142039505,0.945105113069
7,"DMC, DC",19,area,45.6983090094,3.55703878954,47.5591251508,3.70187993002,20.0486623362,1.56053629017,13.2593530211,1.03207392227
7,"DMC, DC",23,area,45.4204603137,3.53541176199,48.5121720067,3.77606264505,20.4570316024,1.59232270309,13.4312970178,1.04545760055
