HYPER_PARAM,FEATURES,K_FOLDS,OUTPUT,AVG_RMSE,AVG_RMSE_%_AVG,STD_RMSE,STD_RMSE_%_AVG,AVG_MAE,AVG_MAE_%_AVG,STD_MAE,STD_MAE_%_AVG
1,DC,3,area_adjusted,2.10113153679,1.89116364572,0.1398061759,0.125835223869,1.55776543869,1.40209659159,0.140315059302,0.126293254113
1,DC,5,area,59.6396533195,4.64219642522,30.4944603692,2.37360995639,17.4764854369,1.36032444364,3.92692001627,0.305661301618
1,DC,5,area_adjusted,1.95271542309,1.75757888259,0.124707356453,0.112245242503,1.4199377526,1.27804214534,0.138264562035,0.12444766481
1,DC,7,area,63.786621868,4.96498573569,32.6472546664,2.54117789877,19.8889839742,1.54810709264,5.86421577552,0.456455394937
1,DC,7,area_adjusted,1.94825758604,1.75356652105,0.146834083805,0.13216082686,1.40463605834,1.26426956261,0.170733001362,0.153671504923
1,DC,9,area,56.3164200284,4.38352453756,40.4992368715,3.15235589352,19.1772070982,1.4927042208,9.00279884573,0.700754586798
1,DC,9,area_adjusted,2.0082651104,1.80757744161,0.203546935947,0.183206314655,1.43726753389,1.29364014659,0.184447355983,0.16601537223
1,DC,10,area,51.9442360939,4.0432050437,41.8661080297,3.25874961064,17.3659098793,1.35171752812,7.9024197498,0.615103922832
1,DC,10,area_adjusted,1.9272153113,1.73462701901,0.149986058576,0.134997822068,1.39658560998,1.25702360251,0.130098202152,0.11709737633
1,DC,11,area,61.5074027696,4.78757721364,43.9493818905,3.42090626198,19.1432495164,1.49006105043,7.77357334154,0.605074851526
1,DC,11,area_adjusted,1.9254315243,1.73302148739,0.212322212274,0.191104670032,1.3840489639,1.24573975431,0.205238925368,0.184729222111
1,DC,13,area,70.7399736038,5.50621665798,63.1995936964,4.91929298049,22.3436494083,1.73917190387,15.9758974954,1.24352255782
1,DC,13,area_adjusted,1.91540260151,1.72399476352,0.31500947136,0.283530302537,1.34537847259,1.21093363864,0.262974713599,0.236695423106
1,DC,15,area,66.8594726502,5.20416849619,54.8915476857,4.27261615819,21.5067803922,1.67403218325,11.343339871,0.882936249094
1,DC,15,area_adjusted,1.99828936222,1.79859857858,0.204351938411,0.183930872527,1.4568349672,1.31125218938,0.180696198559,0.162639071211
1,DC,17,area,50.0393067084,3.89493026524,41.4515301002,3.22647993643,18.6952618596,1.45519084942,9.85424913068,0.767029275684
1,DC,17,area_adjusted,1.87509309111,1.68771341735,0.301242967978,0.271139497739,1.36119916226,1.22517335311,0.265419103275,0.238895542808
1,DC,19,area,57.1904679741,4.45155816993,61.8957625936,4.8178061383,21.0416081871,1.63782438144,15.5444781802,1.20994199369
1,DC,19,area_adjusted,1.89710349859,1.70752430578,0.344917401601,0.310449507451,1.3916987881,1.25262512497,0.311176050406,0.280079958653
1,DC,21,area,50.730213097,3.9487086323,48.7832361005,3.7971609765,18.890515873,1.47038891703,11.1073644689,0.864568533874
1,DC,21,area_adjusted,1.8822235246,1.69413130045,0.208594624902,0.187749583689,1.34033894166,1.20639771239,0.204912022848,0.184434987242
1,DC,23,area,46.1756018394,3.59418946725,45.7913909274,3.56428348318,18.8709340093,1.46886471538,13.4990663924,1.05073242822
1,DC,23,area_adjusted,1.92218161213,1.73009634175,0.379436123942,0.341518744023,1.39848463919,1.2587328601,0.302770577472,0.272514451896
1,ISI,3,area,58.4356000266,4.5484760298,32.5911135187,2.53680801697,16.9248107945,1.31738351574,4.00750718184,0.31193399824
1,ISI,3,area_adjusted,1.93934147863,1.74554140795,0.0346801342412,0.0312145184428,1.36587741708,1.22938410588,0.0754253375748,0.0678880183798
